omc_id,sample_id,sample_name,non_human_reads,individual_id
pitt00088,0262-HCF001-20241105-ROD-CS,0262-HCF001-20241105-ROD-CS_S25,156234,HCF001
pitt00089,0262-HCF002-20240827-DOD-CS,0262-HCF002-20240827-DOD-CS_S44,255064,HCF002
pitt00090,0262-HCF002-20240827-ROD-CS-thm,0262-HCF002-20240827-ROD-CS-thm_S44,174106,HCF002
pitt00091,0262-HCF002-20240903-DOD-CS,0262-HCF002-20240903-DOD-CS_S61,232906,HCF002
pitt00092,0262-HCF002-20240903-ROD-CS-thm,0262-HCF002-20240903-ROD-CS-thm_S61,227204,HCF002
pitt00093,0262-HCF002-20241105-DOD-CS,0262-HCF002-20241105-DOD-CS_S26,43764,HCF002
pitt00094,0262-HCF002-20241105-ROD-CS,0262-HCF002-20241105-ROD-CS_S26,107158,HCF002
pitt00095,0262-HCF003-20240829-DOD-CS,0262-HCF003-20240829-DOD-CS_S56,215408,HCF003
pitt00096,0262-HCF003-20240829-ROD-CS-thm,0262-HCF003-20240829-ROD-CS-thm_S56,192494,HCF003
pitt00097,0262-HCF003-20240909-DOD-CS,0262-HCF003-20240909-DOD-CS_S4,13838,HCF003
pitt00098,0262-HCF003-20241119-DOD-CS,0262-HCF003-20241119-DOD-CS_S31,47662,HCF003
pitt00099,0262-HCF003-20241119-ROD-CS,0262-HCF003-20241119-ROD-CS_S31,73382,HCF003
pitt00100,0262-HCF004-20240828-DOD-CS,0262-HCF004-20240828-DOD-CS_S49,103930,HCF004
pitt00101,0262-HCF004-20240828-ROD-CS-thm,0262-HCF004-20240828-ROD-CS-thm_S49,289322,HCF004
pitt00102,0262-HCF004-20240905-DOD-CS,0262-HCF004-20240905-DOD-CS_S1,95226,HCF004
pitt00103,0262-HCF004-20240905-ROD-CS-thm,0262-HCF004-20240905-ROD-CS-thm_S1,465254,HCF004
pitt00104,0262-HCF004-20241203-DOD-CS,0262-HCF004-20241203-DOD-CS_S45,10292,HCF004
pitt00105,0262-HCF004-20241203-ROD-CS,0262-HCF004-20241203-ROD-CS_S45,72422,HCF004
pitt00106,0262-HCF005-20240827-DOD-CS,0262-HCF005-20240827-DOD-CS_S45,199156,HCF005
pitt00107,0262-HCF005-20240827-ROD-CS-thm,0262-HCF005-20240827-ROD-CS-thm_S45,172362,HCF005
pitt00108,0262-HCF005-20240905-DOD-CS,0262-HCF005-20240905-DOD-CS_S73,229620,HCF005
pitt00109,0262-HCF005-20240905-ROD-CS-thm,0262-HCF005-20240905-ROD-CS-thm_S73,213908,HCF005
pitt00110,0262-HCF006-20240829-DOD-CS,0262-HCF006-20240829-DOD-CS_S57,188070,HCF006
pitt00111,0262-HCF006-20240829-ROD-CS-thm,0262-HCF006-20240829-ROD-CS-thm_S57,220930,HCF006
pitt00112,0262-HCF006-20240904-DOD-CS,0262-HCF006-20240904-DOD-CS_S65,298308,HCF006
pitt00113,0262-HCF006-20240904-ROD-CS-thm,0262-HCF006-20240904-ROD-CS-thm_S65,227116,HCF006
pitt00114,0262-HCF006-20241209-DOD-CS,0262-HCF006-20241209-DOD-CS_S51,28734,HCF006
pitt00115,0262-HCF006-20241209-ROD-CS,0262-HCF006-20241209-ROD-CS_S51,66490,HCF006
pitt00116,0262-HCF007-20240828-DOD-CS,0262-HCF007-20240828-DOD-CS_S50,232,HCF007
pitt00117,0262-HCF007-20240828-ROD-CS-thm,0262-HCF007-20240828-ROD-CS-thm_S50,249650,HCF007
pitt00118,0262-HCF007-20240912-DOD-CS,0262-HCF007-20240912-DOD-CS_S44,284088,HCF007
pitt00119,0262-HCF007-20240912-ROD-CS-thm,0262-HCF007-20240912-ROD-CS-thm_S44,296182,HCF007
pitt00120,0262-HCF007-20250114-DOD-CS,0262-HCF007-20250114-DOD-CS_S62,79608,HCF007
pitt00121,0262-HCF007-20250114-ROD-CS,0262-HCF007-20250114-ROD-CS_S62,92330,HCF007
pitt00122,0262-HCF009-20240828-DOD-CS,0262-HCF009-20240828-DOD-CS_S51,247344,HCF009
pitt00123,0262-HCF009-20240828-ROD-CS-thm,0262-HCF009-20240828-ROD-CS-thm_S51,196902,HCF009
pitt00124,0262-HCF009-20240903-DOD-CS,0262-HCF009-20240903-DOD-CS_S62,250852,HCF009
pitt00125,0262-HCF009-20240903-ROD-CS-thm,0262-HCF009-20240903-ROD-CS-thm_S62,263768,HCF009
pitt00126,0262-HCF010-20240826-DOD-CS,0262-HCF010-20240826-DOD-CS_S42,183924,HCF010
pitt00127,0262-HCF010-20240826-ROD-CS-thm,0262-HCF010-20240826-ROD-CS-thm_S42,212670,HCF010
pitt00128,0262-HCF010-20240904-DOD-CS,0262-HCF010-20240904-DOD-CS_S66,264150,HCF010
pitt00129,0262-HCF010-20240904-ROD-CS-thm,0262-HCF010-20240904-ROD-CS-thm_S66,294310,HCF010
pitt00130,0262-HCF010-20241105-DOD-CS,0262-HCF010-20241105-DOD-CS_S27,1220,HCF010
pitt00131,0262-HCF010-20241105-ROD-CS,0262-HCF010-20241105-ROD-CS_S27,38,HCF010
pitt00132,0262-HCF011-20240829-DOD-CS,0262-HCF011-20240829-DOD-CS_S58,214536,HCF011
pitt00133,0262-HCF011-20240829-ROD-CS-thm,0262-HCF011-20240829-ROD-CS-thm_S58,231028,HCF011
pitt00134,0262-HCF011-20240905-DOD-CS,0262-HCF011-20240905-DOD-CS_S72,255482,HCF011
pitt00135,0262-HCF011-20240905-ROD-CS-thm,0262-HCF011-20240905-ROD-CS-thm_S72,210824,HCF011
pitt00136,0262-HCF011-20241119-DOD-CS,0262-HCF011-20241119-DOD-CS_S32,28056,HCF011
pitt00137,0262-HCF011-20241119-ROD-CS,0262-HCF011-20241119-ROD-CS_S32,119198,HCF011
pitt00138,0262-HCF012-20240826-DOD-CS,0262-HCF012-20240826-DOD-CS_S43,289032,HCF012
pitt00139,0262-HCF012-20240826-ROD-CS-thm,0262-HCF012-20240826-ROD-CS-thm_S43,143800,HCF012
pitt00140,0262-HCF012-20240904-DOD-CS,0262-HCF012-20240904-DOD-CS_S67,258860,HCF012
pitt00141,0262-HCF012-20240904-ROD-CS-thm,0262-HCF012-20240904-ROD-CS-thm_S67,172606,HCF012
pitt00142,0262-HCF012-20241105-DOD-CS,0262-HCF012-20241105-DOD-CS_S28,34948,HCF012
pitt00143,0262-HCF012-20241105-ROD-CS,0262-HCF012-20241105-ROD-CS_S28,97022,HCF012
pitt00144,0262-HCF013-20240827-DOD-CS,0262-HCF013-20240827-DOD-CS_S46,208274,HCF013
pitt00145,0262-HCF013-20240827-ROD-CS-thm,0262-HCF013-20240827-ROD-CS-thm_S46,258182,HCF013
pitt00146,0262-HCF013-20240904-DOD-CS,0262-HCF013-20240904-DOD-CS_S68,248520,HCF013
pitt00147,0262-HCF013-20240904-ROD-CS-thm,0262-HCF013-20240904-ROD-CS-thm_S68,256308,HCF013
pitt00148,0262-HCF013-20241202-DOD-CS,0262-HCF013-20241202-DOD-CS_S35,107150,HCF013
pitt00149,0262-HCF013-20241202-ROD-CS,0262-HCF013-20241202-ROD-CS_S35,60312,HCF013
pitt00150,0262-HCF014-20240828-DOD-CS,0262-HCF014-20240828-DOD-CS_S52,213916,HCF014
pitt00151,0262-HCF014-20240828-ROD-CS-thm,0262-HCF014-20240828-ROD-CS-thm_S52,339328,HCF014
pitt00152,0262-HCF014-20240904-DOD-CS,0262-HCF014-20240904-DOD-CS_S69,215518,HCF014
pitt00153,0262-HCF014-20240904-ROD-CS-thm,0262-HCF014-20240904-ROD-CS-thm_S69,265860,HCF014
pitt00154,0262-HCF014-20241203-DOD-CS,0262-HCF014-20241203-DOD-CS_S46,51890,HCF014
pitt00155,0262-HCF014-20241203-ROD-CS,0262-HCF014-20241203-ROD-CS_S46,72960,HCF014
